,park_name,act_name
68,Capitol Reef National Park,"['Arts and Culture', 'Astronomy', 'Biking', 'Camping', 'Canyoneering', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
69,Captain John Smith Chesapeake National Historic Trail,"['Arts and Culture', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Guided Tours', 'Hands-On', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Swimming', 'Tubing', 'Wildlife Watching']"
70,Capulin Volcano National Monument,"['Astronomy', 'Biking', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Wildlife Watching']"
71,Carl Sandburg Home National Historic Site,"['Arts and Culture', 'Guided Tours']"
72,Carlsbad Caverns National Park,"['Astronomy', 'Camping', 'Caving', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Wildlife Watching']"
73,Carter G. Woodson Home National Historic Site,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
74,Casa Grande Ruins National Monument,"['Arts and Culture', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
75,Castillo de San Marcos National Monument,"['Junior Ranger Program', 'Living History', 'Park Film']"
76,Castle Clinton National Monument,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Shopping']"
77,Castle Mountains National Monument,['Camping']
78,Catoctin Mountain Park,"['Camping', 'Climbing', 'Compass and GPS', 'Fishing', 'Food', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Skiing', 'Snowshoeing']"
79,Cedar Breaks National Monument,"['Arts and Culture', 'Astronomy', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
80,Cedar Creek & Belle Grove National Historical Park,"['Astronomy', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Shopping']"
81,Chaco Culture National Historical Park,"['Astronomy', 'Camping', 'Guided Tours', 'Hiking']"
82,Chamizal National Memorial,"['Arts and Culture', 'Biking', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
83,Channel Islands National Park,"['Astronomy', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Snorkeling', 'Surfing', 'Swimming', 'Wildlife Watching']"
84,Charles Pinckney National Historic Site,"['Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
85,Charles Young Buffalo Soldiers National Monument,"['Food', 'Guided Tours', 'Junior Ranger Program', 'Park Film']"
86,Chattahoochee River National Recreation Area,"['Biking', 'Boating', 'Fishing', 'Hiking', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Swimming', 'Tubing', 'Wildlife Watching']"
87,Chesapeake & Ohio Canal National Historical Park,"['Biking', 'Boating', 'Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Ice Skating', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
88,Chesapeake Bay,"['Boating', 'Compass and GPS', 'Guided Tours', 'Junior Ranger Program', 'Paddling', 'Wildlife Watching']"
89,Chickamauga & Chattanooga National Military Park,"['Auto and ATV', 'Biking', 'Climbing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping']"
90,Chickasaw National Recreation Area,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Fishing', 'Food', 'Hands-On', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Swimming', 'Water Skiing', 'Wildlife Watching']"
91,Chiricahua National Monument,"['Astronomy', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
92,Christiansted National Historic Site,"['Arts and Culture', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping']"
93,City Of Rocks National Reserve,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Climbing', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Ice Skating', 'Junior Ranger Program', 'Living History', 'Shopping', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Wildlife Watching']"
94,Civil War Defenses of Washington,"['Arts and Culture', 'Biking', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Park Film', 'Wildlife Watching']"
95,Clara Barton National Historic Site,"['Guided Tours', 'Museum Exhibits']"
96,Colonial National Historical Park,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Guided Tours', 'Junior Ranger Program']"
97,Colorado National Monument,"['Auto and ATV', 'Biking', 'Camping', 'Climbing', 'Food', 'Hiking', 'Park Film', 'Shopping', 'Wildlife Watching']"
98,Congaree National Park,"['Camping', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Shopping']"
99,Constitution Gardens,['Junior Ranger Program']
100,Coronado National Memorial,"['Auto and ATV', 'Biking', 'Caving', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping', 'Wildlife Watching']"
101,Cowpens National Battlefield,"['Biking', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film']"
102,Crater Lake National Park,"['Astronomy', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
103,Craters Of The Moon National Monument & Preserve,"['Astronomy', 'Auto and ATV', 'Biking', 'Camping', 'Caving', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
104,Cumberland Gap National Historical Park,"['Biking', 'Camping', 'Caving', 'Guided Tours', 'Hiking', 'Park Film', 'Shopping', 'Wildlife Watching']"
105,Cumberland Island National Seashore,"['Biking', 'Boating', 'Camping', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Swimming', 'Wildlife Watching']"
106,Curecanti National Recreation Area,"['Boating', 'Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Swimming', 'Wildlife Watching']"
